Datetime,Action,Price,Shares_After,Cash_After,Portfolio_Value,buy_rise_pct,sell_drop_pct,Reason,symbol
2026-09-02T23:00:00+00:00,BUY,324.74,3.0793865861920304,0.0,1000.0,1.0,2.5,Initial full allocation,AAPL
2026-09-02T23:00:00+00:00,BUY,456.731,2.1894725779506974,0.0,1000.0,1.0,1.0,Initial full allocation,AMD
2026-09-02T23:00:00+00:00,BUY,334.85,2.986411826190832,0.0,1000.0,2.0,1.0,Initial full allocation,GOOG
2026-09-02T23:00:00+00:00,BUY,497.75,2.0090406830738323,0.0,1000.0,1.0,1.0,Initial full allocation,MSFT
2026-09-02T23:00:00+00:00,BUY,225.35,4.437541601952519,0.0,1000.0,11.5,1.0,Initial full allocation,NVDA
2026-09-02T23:00:00+00:00,BUY,550.8181,1.815481372162607,0.0,1000.0,6.5,1.0,Initial full allocation,SMH
2026-09-02T19:30:00+00:00,BUY,116.33999633789062,8.595496230682889,0.0,1000.0,2.0,2.0,Initial full allocation,ZSP.TO
2026-09-04T14:30:00+00:00,SELL,318.6849975585937,0.0,981.3543067025736,981.3543067025736,1.0,1.5,Price dropped from rolling peak threshold,AAPL
2026-09-04T14:30:00+00:00,SELL,334.4549865722656,0.0,998.8203272279098,998.8203272279098,7.000000000000001,1.0,Price dropped from rolling peak threshold,GOOG
2026-09-04T14:30:00+00:00,SELL,501.3999938964844,0.0,1007.3329862310084,1007.3329862310084,2.0,1.5,Price dropped from rolling peak threshold,MSFT
2026-09-04T22:00:00+00:00,BUY,499.52,2.016601910295901,0.0,1007.3329862310084,2.0,1.5,Price rose from rolling trough threshold,MSFT
